skill,category,A_instruction_design,B_domain_accuracy,C_ownership_packaging,current_issue_evidence,change_size,priority,proposed_change,preserved_capabilities,dependencies,risk,expected_benefit,validation,confidence,official_or_authoritative_source
alaa-k8s-helm,Infrastructure/platform,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/version-awareness.md:23-37 current1.36/support1.34-1.36 stale versus1.37/support1.35-1.37,Minor,P1,W4 refresh K8s/Helm ledger and API compatibility boundaries,Actual cluster discovery; namespace/RBAC; dual Helm major,alaa-algorithms-data-structures; alaa-arvan-object-storage; alaa-docker-production; alaa-frontend-devops; alaa-gitlab-ci-cd; alaa-makefile; alaa-minio-object-storage; alaa-observability-soc; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy; caas-arvan-kuber,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,check_versions and target Helm/manifests proof,High,https://kubernetes.io/releases/
alaa-keyset-pagination,Backend/contracts,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:18-60 signed cursor/order safeguards; consumer examples unverified,Not assessed,Defer,Retain contract until consumer-framework assessment,Context binding; tamper rejection; deterministic order,alaa-algorithms-data-structures; alaa-data-layer; alaa-golang; alaa-php-clean-code; alaa-prompting-guide; alaa-security-review; alaa-services-contract; alaa-testing-strategy,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Cursor/order/tamper cases against current consumer,Medium,https://laravel.com/docs/13.x/pagination
alaa-laravel-architecture,Backend/PHP,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:14-47 legal layers; consumer gate not exercised,Not assessed,Defer,No change without current consumer architecture,Legal call graph; authority of architecture gate,alaa-algorithms-data-structures; alaa-async-messaging; alaa-cc-orchestrator; alaa-cicd-laravel-postgres; alaa-codex-orchestrator; alaa-controlled-ops; alaa-data-layer; alaa-keyset-pagination; alaa-laravel-job-rabbitmq; alaa-observability-soc; alaa-octane-performance; alaa-php-clean-code; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-repo-docs; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Existing layer checker on consumer,Medium,https://laravel.com/docs/13.x
alaa-laravel-job-rabbitmq,Data/messaging,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/driver-facts.md:33 driver15/Laravel13 snapshot; installed-source check already required,Minor,P1,W4 verify driver/monitor-method deltas before refreshing facts,Publish/worker/recovery/shutdown/redelivery semantics,alaa-algorithms-data-structures; alaa-async-messaging; alaa-data-layer; alaa-docker-production; alaa-k8s-helm; alaa-observability-soc; alaa-octane-performance; alaa-php-clean-code; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-workflow; caas-arvan-kuber; service-runtime-kit-governance,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Consumer lock/source plus broker-truth scenarios,Medium,https://www.rabbitmq.com/release-information
alaa-laravel-public-api-contract-pack,Backend/contracts,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,"SKILL.md:27-33,75-97 rejects unresolved versioning; no consumer pack assessed",Not assessed,Defer,Preserve refusal until executable routes/contracts inspected,Uncertainty markers; route truth; public contract coverage,alaa-algorithms-data-structures; alaa-async-messaging; alaa-cc-orchestrator; alaa-codex-orchestrator; alaa-controlled-ops; alaa-keyset-pagination; alaa-laravel-architecture; alaa-laravel-job-rabbitmq; alaa-observability-soc; alaa-php-clean-code; alaa-postman-collections; alaa-prompting-guide; alaa-reliability-sla; alaa-repo-docs; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Actual route/schema/collection comparison,Medium,https://laravel.com/docs/13.x/routing
alaa-laravel-upgrade-all-packages,Backend/dependencies,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:20-39 separates locks/manifests/runtime; no target lock available,Not assessed,Defer,No upgrade recommendation without consumer evidence,Rollback; advisory gates; runtime proof,alaa-algorithms-data-structures; alaa-cc-orchestrator; alaa-cicd-laravel-postgres; alaa-codex-orchestrator; alaa-codex-runtime-ops; alaa-controlled-ops; alaa-data-layer; alaa-docker-production; alaa-frontend-devops; alaa-gitlab-ci-cd; alaa-laravel-architecture; alaa-low-noise; alaa-observability-soc; alaa-octane-performance; alaa-php-clean-code; alaa-postman-collections; alaa-prompting-guide; alaa-reliability-sla; alaa-repo-docs; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-workflow; service-runtime-kit-governance,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Consumer dependency and migration gates,Medium,https://laravel.com/docs/13.x/upgrade
alaa-low-noise,Governance/retrieval,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:16-19 host-aware bounded calls; model-output-profiles routes to owner; deep scripts coverage limited,Not assessed,Defer,Retain behavior; resolve paired-orchestrator cadence in their scope,Evidence completeness; independent gates; bounded output,alaa-codex-runtime-ops; alaa-prompting-guide; alaa-repo-docs; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Scenario-based equivalence for any selected compression,Medium,https://developers.openai.com/blog/rethinking-skills-and-prompts-for-gpt-6-astra
alaa-makefile,Infrastructure/tooling,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,"SKILL.md:15-21,76-80 exact gate parity; Make4.4.1 snapshot",Not assessed,Defer,Check supported target Make before edits,Exact runner parity; no ignored exit status,alaa-algorithms-data-structures; alaa-bash-shell; alaa-controlled-ops; alaa-docker-production; alaa-frontend-devops; alaa-gitlab-ci-cd; alaa-k8s-helm; alaa-makefile-ast-; alaa-makefile-gen-; alaa-makefile-venv-; alaa-makefile-work-; alaa-observability-soc; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy; caas-arvan-kuber; service-runtime-kit-governance,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,validate_makefile plus make -n on target,Medium,https://www.gnu.org/software/make/
alaa-memory-os,Governance/knowledge,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/store-hindsight.md:7 older0.9.1/0.3.4; global local versus source hindsight drift,Minor,P1,F05 source ledger/compatibility refresh; global and installed changes separate,Single adapter; recall fail-open; writes fail-closed; privacy,alaa-algorithms-data-structures; alaa-controlled-ops; alaa-extract-agent-lessons; alaa-low-noise; alaa-notification-contracts; alaa-observability-soc; alaa-postman-collections; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Source checks; separate installed/version evidence after authorization,High core; package latest provisional,https://github.com/vectorize-io/hindsight/releases
alaa-minio-object-storage,Data/storage,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,"SKILL.md:22-71,104-120 posture and dated service claims; provider/consumer absent",Not assessed,Defer,Do not change compatibility without provider evidence,Retention; credentials; service truth,alaa-algorithms-data-structures; alaa-arvan-object-storage; alaa-data-layer; alaa-docker-production; alaa-golang; alaa-haproxy; alaa-k8s-helm; alaa-observability-soc; alaa-octane-performance; alaa-php-clean-code; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy; caas-arvan-kuber; tusd-upload-platform,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Current provider and consumer posture checks,Medium,Official provider contract and target deployment required
alaa-mongodb-patterns,Data/storage,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/source-map.md:10-13 deployed server/driver authority; latest8.3 does not prove consumer,Not assessed,Defer,Keep server/driver matrix boundary,Tenant/data-layer contracts; installed-source authority,alaa-algorithms-data-structures; alaa-async-messaging; alaa-data-layer; alaa-go-chi-development; alaa-keyset-pagination; alaa-laravel-architecture; alaa-observability-soc; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Target server/driver and failure cases,Medium,https://www.mongodb.com/docs/manual/release-notes/
alaa-mono-package,Frontend/packages,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:22-38 clean-island boundary; references/15 snapshot pnpm11.10,Not assessed,Defer,Inspect consumer workspace exports/locks first,Peers; exports; isolation; ownership,alaa-algorithms-data-structures; alaa-controlled-ops; alaa-frontend-developer; alaa-frontend-devops; alaa-input-normalization; alaa-makefile; alaa-observability-soc; alaa-project-constitution; alaa-prompting-guide; alaa-quasar-app-vite-v3; alaa-security-review; alaa-services-contract; alaa-testing-strategy; alaa-vue-typescript-clean-code,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,verify-package-entrypoints and consumer builds,Medium,https://nodejs.org/api/packages.html
alaa-observability-soc,Infrastructure/observability,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:28-69 owns requirement levels; target vendor config unobserved,Not assessed,Defer,Retain canonical names versus requirement ownership,Three signals; privacy; fail-open telemetry,alaa-algorithms-data-structures; alaa-minio-object-storage; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-signoz-clickhouse-docs; alaa-testing-strategy,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Own gates on actual target configuration,Medium,https://opentelemetry.io/docs/specs/
alaa-octane-performance,Backend/PHP,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,"SKILL.md:21-76,133-144 lifetime/freshness triggers; consumer pins unknown",Not assessed,Defer,Check installed server/Octane before API changes,Cross-request isolation; worker lifecycle,alaa-algorithms-data-structures; alaa-async-messaging; alaa-cc-orchestrator; alaa-codex-orchestrator; alaa-controlled-ops; alaa-data-layer; alaa-docker-production; alaa-k8s-helm; alaa-laravel-architecture; alaa-laravel-job-rabbitmq; alaa-low-noise; alaa-observability-soc; alaa-php-clean-code; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Actual consumer long-lived worker tests,Medium,https://laravel.com/docs/13.x/octane
alaa-partitioned-table-fk-audit,Data/storage,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,"SKILL.md:8-13,34-64 detector and regression obligations; executable proof unrun",Not assessed,Defer,Assess detector on target major before change,Composite-key semantics; lock safety; regression proof,alaa-cicd-laravel-postgres; alaa-codex-runtime-ops; alaa-data-layer; alaa-laravel-architecture; alaa-project-constitution; alaa-prompting-guide; alaa-testing-strategy,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Detector fixtures and target Postgres schema,Medium,https://www.postgresql.org/docs/
alaa-permission-generator,Backend/contracts,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:30-34 commits machine-specific source_root assertion,Minor,P1,F04 read actual configured root; keep hard stop; no external catalog edit,Catalog authority; no hand-built maps; missing-checkout stop,alaa-algorithms-data-structures; alaa-controlled-ops; alaa-golang; alaa-laravel-architecture; alaa-mono-package; alaa-observability-soc; alaa-php-clean-code; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-ui-ux-design-system; alaa-vue-typescript-clean-code; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Configured-root/missing-root cases; native refs,High,Current external catalog remains authoritative
alaa-php-clean-code,Backend/PHP,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:24-28 PHP8.5/Laravel13 new-service target and consumer override,Not assessed,Defer,Retain target policy; full examples/consumer not assessed,Existing composer authority; strictness; clean-code behavior,alaa-algorithms-data-structures; alaa-async-messaging; alaa-cc-orchestrator; alaa-cicd-laravel-postgres; alaa-codex-orchestrator; alaa-codex-runtime-ops; alaa-controlled-ops; alaa-crockford-base32-codecs; alaa-data-layer; alaa-laravel-architecture; alaa-laravel-job-rabbitmq; alaa-laravel-upgrade-all-packages; alaa-low-noise; alaa-minio-object-storage; alaa-mongodb-patterns; alaa-observability-soc; alaa-octane-performance; alaa-prompting-guide; alaa-reliability-sla; alaa-repo-docs; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Consumer composer and focused examples,Medium,https://www.php.net/downloads.php
alaa-postman-collections,Documentation/tools,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:35-70 assertions/examples/importability; schema/runtime unverified,Not assessed,Defer,Verify current schema and importer before changes,Saved examples; assertions; contract coverage,alaa-algorithms-data-structures; alaa-laravel-public-api-contract-pack; alaa-prompting-guide; alaa-repo-docs; alaa-services-contract; alaa-testing-strategy,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Own checker and real import on selected runtime,Medium,https://schema.getpostman.com/
alaa-project-constitution,Governance/architecture,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:10 separates fact and obligation; archetype/validator coverage incomplete,Not assessed,Defer,Retain ratification; inspect selected template before edit,Historical decisions; source-backed metrics; authority,alaa-algorithms-data-structures; alaa-observability-soc; alaa-prompting-guide; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Selected template/validator and ratification scenarios,Medium,Repository constitution and quality-bar owner
alaa-prompting-guide,Governance/prompting,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,Current policies validated; Claude source completion pending; F06 runtime claims must have single owner,Minor,P1,Provisional F06 canonical host-aware runtime facts; keep model pins unchanged,Cross-runtime invocation; explicit authority; compression equivalence; unrun calibration,alaa-accessibility-reviewer; alaa-adversarial-reviewer; alaa-api-contract-reviewer; alaa-architecture-critic; alaa-browser-qa; alaa-cc-orchestrator; alaa-codex-orchestrator; alaa-dependency-auditor; alaa-documenter; alaa-explorer; alaa-failure-analyst; alaa-implementer; alaa-implementer-opus; alaa-instruction-reviewer; alaa-low-noise; alaa-migration-guardian; alaa-observability-reviewer; alaa-performance-profiler; alaa-release-guardian; alaa-researcher; alaa-reviewer; alaa-rule-writer; alaa-security-reviewer; alaa-spec-analyst; alaa-test-strategist; alaa-verifier; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Policy/projection and instruction gates; later authorized representative evals,High source; activation unknown,https://learn.chatgpt.com/docs/agent-configuration/subagents
alaa-quasar-app-vite-v3,Frontend/framework,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/80-upstream-deltas-and-live-checks.md:30+ 3.2 snapshot versus3.3,Minor,P2,W4 refresh version delta ledger,Consumer v2 maintenance and explicit v3 migration,alaa-algorithms-data-structures; alaa-arvan-object-storage; alaa-crockford-base32-codecs; alaa-frontend-developer; alaa-frontend-devops; alaa-gitlab-ci-cd; alaa-haproxy; alaa-indexeddb-browser-storage; alaa-input-normalization; alaa-keyset-pagination; alaa-minio-object-storage; alaa-mono-package; alaa-observability-soc; alaa-permission-generator; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-shaka-player; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-ui-ux-design-system; alaa-vue-typescript-clean-code; alaa-workflow; tusd-upload-platform,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Version checker and selected app build,High,https://github.com/quasarframework/quasar/releases
alaa-reliability-sla,Architecture/reliability,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Concrete router-layout violation; root gates pass but do not enforce this semantic requirement.,Blanket caller-deadline queue expiry conflicts with durable receipt in references/40-admission-and-shedding.md:9-14; duplicate router,Fundamental,P1,F03 split synchronous deadline from durable validity; F07 router separately,Bounded depth/wait; admission; receipts; retries; failure proof,alaa-async-messaging; alaa-controlled-ops; alaa-data-layer; alaa-laravel-job-rabbitmq; alaa-observability-soc; alaa-prompting-guide; alaa-security-review; alaa-services-contract; alaa-testing-strategy,High: changes shared queue contract; accepted durable work must not be lost; serialize shared owners.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Waiting versus receipted durable job matrix; async/contract review; native refs,High wording; consumer impact inferred,Repository reliability/async/contracts; consumer proof required
alaa-repo-docs,Documentation,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:36 source-first/native markup; one map pointer; full references not audited,Not assessed,Defer,Retain body behavior; no rewrite justified,Source truth; secret exclusion; document grades,alaa-algorithms-data-structures; alaa-async-messaging; alaa-data-layer; alaa-frontend-developer; alaa-frontend-doc-annotations; alaa-keyset-pagination; alaa-laravel-architecture; alaa-low-noise; alaa-observability-soc; alaa-php-clean-code; alaa-postman-collections; alaa-prompting-guide; alaa-security-review; alaa-services-contract; alaa-trust-gateway-auth,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Selected docs renderer and factual link checks,Medium,Repository documentation owner
alaa-security-review,Architecture/security,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:36 clear fail-closed/gates; ASVS stable distinct from bleeding edge; full refs not audited,Not assessed,Defer,Retain doctrine; no standards migration proposed,Negative tests; complete triggers; actionable verdicts,alaa-docker-production; alaa-low-noise; alaa-minio-object-storage; alaa-observability-soc; alaa-prompting-guide; alaa-reliability-sla; alaa-services-contract; alaa-testing-strategy; alaa-trust-gateway-auth,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Selected threat/failure scenarios and independent security judgment,Medium,https://github.com/OWASP/ASVS/releases
alaa-services-contract,Architecture/contracts,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Concrete router-layout violation; root gates pass but do not enforce this semantic requirement.,SKILL.md:48-73 repeats router despite22 refs/topic-map; consumer adoption unobserved,Minor,P2,F07 consolidate routes; F03 impacts assessed serially if selected,Exact wire names; values; deprecation; security; conformance,alaa-async-messaging; alaa-data-layer; alaa-docker-production; alaa-frontend-developer; alaa-frontend-doc-annotations; alaa-gitlab-ci-cd; alaa-golang; alaa-haproxy; alaa-keyset-pagination; alaa-laravel-architecture; alaa-laravel-job-rabbitmq; alaa-minio-object-storage; alaa-mono-package; alaa-observability-soc; alaa-permission-generator; alaa-php-clean-code; alaa-prompting-guide; alaa-quasar-app-vite-v3; alaa-reliability-sla; alaa-repo-docs; alaa-security-review; alaa-signoz-clickhouse-docs; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-ui-ux-design-system; caas-arvan-kuber; service-runtime-kit-governance; vector-rust-observability-pipelines,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Trigger equivalence; fleet refs; affected consumer contracts,High routing; consumer unknown,Repository shared contract owner
alaa-shaka-player,Frontend/media,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:27 pin5.2.3 versus stable5.2.11,Minor,P2,W4 inspect API/default deltas; refresh ledger only,Consumer exact pin; attach/destroy/error handling; credentials,alaa-algorithms-data-structures; alaa-arvan-object-storage; alaa-cc-orchestrator; alaa-codex-orchestrator; alaa-frontend-developer; alaa-frontend-doc-annotations; alaa-indexeddb-browser-storage; alaa-input-normalization; alaa-low-noise; alaa-minio-object-storage; alaa-observability-soc; alaa-prompting-guide; alaa-quasar-app-vite-v3; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-ui-ux-design-system; alaa-vue-typescript-clean-code,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Own checks and exact target player/browser scenarios,High,https://github.com/shaka-project/shaka-player/releases
alaa-signoz-clickhouse-docs,Infrastructure/observability,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/90-versions.md:10-24 older SigNoz/ClickHouse; alert API removal needs assessment,Minor,P1,W4 refresh schema/version/API lifecycle guidance,Installed schema truth; explicit fallback labels; privacy,alaa-algorithms-data-structures; alaa-observability-soc; alaa-prompting-guide; alaa-security-review; alaa-services-contract; vector-rust-observability-pipelines,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Own SQL/schema checks against actual supported deployment,High,https://signoz.io/changelog/
alaa-sms-provider-mediana,Data/integrations,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/40-vendor-contract-clues.md:7-11 sample lacks provenance and stays unverified,Not assessed,P1,W5 obtain primary contract before expanded send guidance,Ambiguous-send handling; idempotency; vendor boundary,alaa-async-messaging; alaa-bale-provider; alaa-golang; alaa-input-normalization; alaa-observability-soc; alaa-php-clean-code; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Dated vendor contract and send-status failure fixtures,High for evidence gap,Official provider contract unresolved
alaa-system-design,Architecture/design,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:15 six triggers and alternatives/rollout; full refs and consumers not assessed,Not assessed,Defer,Retain design doctrine; no generic shortening,Review before implementation; data owner; reversal; authority,alaa-algorithms-data-structures; alaa-async-messaging; alaa-cc-orchestrator; alaa-codex-orchestrator; alaa-data-layer; alaa-observability-soc; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Selected design/rollback decisions and independent review,Medium,Repository design doctrine
